skill_name,skill_class,job_classification,group,,,
Resource Management,Cloud & Infrastructure,Data Engineer,"Cloud, DevOps & IT Infrastructure",,,
Serverless Architecture,Cloud & Infrastructure,Data Engineer,"Cloud, DevOps & IT Infrastructure",,,
Data Cataloging,"Governance, Quality & Security",Data Engineer,"Governance, Risk & Compliance (GRC)",,,
Data Design Rules,"Governance, Quality & Security",Data Engineer,"Governance, Risk & Compliance (GRC)",,,
Data Governance,"Governance, Quality & Security",Data Engineer,"Governance, Risk & Compliance (GRC)",,,
Data Quality,"Governance, Quality & Security",Data Engineer,"Governance, Risk & Compliance (GRC)",,,
Data Security,"Governance, Quality & Security",Data Engineer,"Governance, Risk & Compliance (GRC)",,,
Data Tools,Programming & Tools,Data Engineer,Software Engineering & Development,,,
Error Handling,Programming & Tools,Data Engineer,Software Engineering & Development,,,
Neural Networks,Programming & Tools,Data Engineer,Software Engineering & Development,,,
Pandas,Programming & Tools,Data Engineer,Software Engineering & Development,,,
PySpark,Programming & Tools,Data Engineer,Software Engineering & Development,,,
Python,Programming & Tools,Data Engineer,Software Engineering & Development,,,
Regular Expression,Programming & Tools,Data Engineer,Software Engineering & Development,,,
Webflow Basics,Programming & Tools,Data Engineer,Software Engineering & Development,,,
Data Analysis,General Data Concepts,Data Engineer,"Data, Analytics & AI",,,
Data Engineering,General Data Concepts,Data Engineer,"Data, Analytics & AI",,,
Data Sources,General Data Concepts,Data Engineer,"Data, Analytics & AI",,,
AI Analytics,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
Algorithms,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
Deep Learning,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
Gradient Descent,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
Linear Regression,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
Machine Learning,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
Model Creation,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
Models,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
Neural Networks,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
PCA,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
SVD,Machine Learning & Modeling,Data Scientist,"Data, Analytics & AI",,,
ANOVA,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
Bayes Theorem,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
Bayesian Estimation,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
Effect Size,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
Estimation,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
Hypothesis testing,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
Mathematics,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
P-value,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
Poisson Processes,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
Random Variables,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
statistical Analysis,Statistics & Mathematics,Data Scientist,"Data, Analytics & AI",,,
Add Operation,Data Handling & Analysis,Data Scientist,"Data, Analytics & AI",,,
Data Analysis,Data Handling & Analysis,Data Scientist,"Data, Analytics & AI",,,
Data Cleaning,Data Handling & Analysis,Data Scientist,"Data, Analytics & AI",,,
Data Preparation,Data Handling & Analysis,Data Scientist,"Data, Analytics & AI",,,
Data Visualization,Data Handling & Analysis,Data Scientist,"Data, Analytics & AI",,,
Pandas Library,Tools & Technologies,Data Scientist,Software Engineering & Development,,,
PyTorch,Tools & Technologies,Data Scientist,Software Engineering & Development,,,
SQL,Tools & Technologies,Data Scientist,Software Engineering & Development,,,
Data science,General Concepts,Data Scientist,"Business, Strategy & Finance",,,
Creating Database,Database Design & Architecture,Database Administrator,"Data, Analytics & AI",,,
Data Relationship,Database Design & Architecture,Database Administrator,"Data, Analytics & AI",,,
Database Design,Database Design & Architecture,Database Administrator,"Data, Analytics & AI",,,
Design database schemas,Database Design & Architecture,Database Administrator,"Data, Analytics & AI",,,
Schema Design,Database Design & Architecture,Database Administrator,"Data, Analytics & AI",,,
Use Case Analysis,Database Design & Architecture,Database Administrator,"Data, Analytics & AI",,,
Data Backup,"Administration, Security & Operations",Database Administrator,"Cloud, DevOps & IT Infrastructure",,,
Data Permissions,"Administration, Security & Operations",Database Administrator,"Cloud, DevOps & IT Infrastructure",,,
Database,"Administration, Security & Operations",Database Administrator,"Cloud, DevOps & IT Infrastructure",,,
Database Management,"Administration, Security & Operations",Database Administrator,"Cloud, DevOps & IT Infrastructure",,,
Resource Management,"Administration, Security & Operations",Database Administrator,"Cloud, DevOps & IT Infrastructure",,,
Formula Creation,Querying & Scripting,Database Administrator,Software Engineering & Development,,,
SQL,Querying & Scripting,Database Administrator,Software Engineering & Development,,,
VBA Scripting,Querying & Scripting,Database Administrator,Software Engineering & Development,,,
Airtable Basics,Tools & Interface Development,Database Administrator,Software Engineering & Development,,,
Form Creation,Tools & Interface Development,Database Administrator,Software Engineering & Development,,,
Form Events,Tools & Interface Development,Database Administrator,Software Engineering & Development,,,
4P of Martech,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
7P Framework,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Brand Building,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Case Studies,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Competitive Analysis,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Competitor Analysis,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Implementation Strategies,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Market Analysis,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Market Planning,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Market Research,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Market Trends,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Marketing,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Marketing Strategy,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Monetization Strategies,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Nudge Theory,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Personal Branding,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Product Management,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Success Case,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Value Creation,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Value Propositions,Marketing Strategy & Market Research,Digital and performance marketer,"Marketing, Content & Communications",,,
Account Setup,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Ad Format,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Ad Group,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Ad Objectives,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Ad Performance Analysis,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Ad Structure,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Ad Targeting,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Advertising,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Advertising Policy,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Campaign Management,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Conversion Tracking,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Facebook Advertising,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Google Ads,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
LINE Ads,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
LINE Tag,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Marketing Campaigns,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
TikTok Advertising,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Tracking Performance Data,Paid Media & Advertising (Performance Marketing),Digital and performance marketer,"Marketing, Content & Communications",,,
Capcut,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Content Creation,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Content Planning,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Content Strategy,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Creative Content,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Creative Writing,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Email Copywriting,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Generative AI,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Graphic Design,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Outline Creation,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
PDF Editing,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Presentation Design,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Short Video,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Social Media Copy,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Template Utilization,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Video Editing,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Visual Communication,Content Strategy & Creative Production,Digital and performance marketer,"Marketing, Content & Communications",,,
Caching Strategies,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
Keyword Research,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
Meta Tag,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
New Keyword,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
Onsite SEO,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
Search Engine,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
SEO,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
SEO Content Writing,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
SEO optimization,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
Static Files,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
Web Performance,SEO & Web Optimization,Digital and performance marketer,"Marketing, Content & Communications",,,
Audience Engagement,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Community Building,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Community Design,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Community Engagement,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Community Growth,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Customer Engagement,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Engagement Strategies,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Google Business Profile,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Google Maps,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Influencer Types,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
LINE OA,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
LINE OA Features,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Message Display,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Premium ID,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
QR Code Reader,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Rich Menu,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Social Media,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
TikTok Features,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
Verified Account,Social Media & Community Management,Digital and performance marketer,"Marketing, Content & Communications",,,
E-Commerce,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
Import Export,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
Lead Management,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
LINE MyShop,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
Sales Techniques,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
Service Subscription,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
Social Commerce,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
Stock Management,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
TikTok Affiliate,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
TikTok Shop,E-Commerce & Sales,Digital and performance marketer,"Business, Strategy & Finance",,,
A/B Testing,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
ANOVA,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Audience Insights,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Behavior Tracking,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Chart Types,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Customer Insight,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Customer Segmentation,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Customer Segments,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Data Analytics,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Data Collection,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Data Management,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Data-Driven,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Google Analytics,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Insights,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Metrics,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Performance Metrics,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Predictive Analytics,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Research Techniques,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Test,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Touchpoint Analysis,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
User Session,Data Analytics & Measurement,Digital and performance marketer,"Data, Analytics & AI",,,
Buyer Persona,Customer Insights & Targeting,Digital and performance marketer,"Marketing, Content & Communications",,,
Hyper-Personalization,Customer Insights & Targeting,Digital and performance marketer,"Marketing, Content & Communications",,,
Target Audience,Customer Insights & Targeting,Digital and performance marketer,"Marketing, Content & Communications",,,
Target Audience Criteria,Customer Insights & Targeting,Digital and performance marketer,"Marketing, Content & Communications",,,
User Feedback,Customer Insights & Targeting,Digital and performance marketer,"Marketing, Content & Communications",,,
User Persona,Customer Insights & Targeting,Digital and performance marketer,"Marketing, Content & Communications",,,
API Service,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Auto Save,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Canvas Setup,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
ChatGPT,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
CRM Systems,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Digital Asset,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Google Sheet,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Google Slides,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Kanban Principles,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Martech,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Martech Categories,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Productivity Enhancement,MarTech & Operational Tools,Digital and performance marketer,"Marketing, Content & Communications",,,
Coaching Methods,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Conflict Management,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Conflict Resolution,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Crisis Management,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Cross-Functional Collaboration,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Employee Engagement,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Growth Mindset,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Leadership,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Mindset Development,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Motivation Techniques,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Organizational Culture,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Psychological Safety,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Task Delegation,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Team Collaboration,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Team Leadership,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Team Motivation,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
Trust Building,Leadership & Team Development,Digital Transformation,"Business, Strategy & Finance",,,
7P Framework,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Bias Reduction,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Change Management,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Competency Framework,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Complex Problem Solving,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Decision Maker Canvas,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Decision Making,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Impact Creation,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Logical Framework,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Performance Improvement,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Positioning,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Problem Solving,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Risk management,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Startup fundamentals,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Strategic Planning,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Strategic Thinking,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Theory of Change,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Understanding Obstacles,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Value-Centric Model,"Strategy, Change & Decision Making",Digital Transformation,"Business, Strategy & Finance",,,
Agile,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Agile Method,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Error Management,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Goal Setting,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Kanban Principles,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Key Results,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Managing Schedules,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Milestone Planning,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
OKR Framework,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
OKRs,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Process Planning,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Product Management,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Project Charter,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Project Management,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Project Management Skills,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Project Planning,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Safety Plan,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
SMART Goals,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Time Management,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Warehouse Design,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Work Breakdown Structure,Project Management & Agile Operations,Digital Transformation,Project & Product Management,,,
Active Listening,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Audience Engagement,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
BATNA,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Clear Communication,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Communication Planning,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Communication Skills,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Effective Communication,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Empathize,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Empathy,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Impact Presentation,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Influence Techniques,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Interest vs Position,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Interpersonal Skills,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Negotiation Skills,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Persuasive Speaking,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Presentation,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Presentation Design,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Presentation Skills,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Stakeholder Analysis,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Stakeholder Engagement,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Stakeholder Management,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Storytelling Techniques,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Types of Negotiation,"Communication, Negotiation & Stakeholder Management",Digital Transformation,"Marketing, Content & Communications",,,
Budget Management,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Debt Management,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Financial Planning,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Fund Selection,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Investment Diversification,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Investment Strategies,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Portfolio Management,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Retirement Plans,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Risk Tolerance,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Savings Techniques,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Tax Allowances,Financial & Investment Planning,Digital Transformation,"Business, Strategy & Finance",,,
Formative Assessment,"HR, Assessment & Talent",Digital Transformation,"Business, Strategy & Finance",,,
HR Automation,"HR, Assessment & Talent",Digital Transformation,"Business, Strategy & Finance",,,
Personality Tests,"HR, Assessment & Talent",Digital Transformation,"Business, Strategy & Finance",,,
Structured Interview,"HR, Assessment & Talent",Digital Transformation,"Business, Strategy & Finance",,,
Work Sample Evaluation,"HR, Assessment & Talent",Digital Transformation,"Business, Strategy & Finance",,,
Data Tools,Tools & Technology,Digital Transformation,Software Engineering & Development,,,
Microsoft Teams,Tools & Technology,Digital Transformation,Software Engineering & Development,,,
Tech Stack,Tools & Technology,Digital Transformation,Software Engineering & Development,,,
Abstraction,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Algorithms,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Array methods,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Arrays,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Arrow Functions,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Asynchronous Programming,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Callback Function,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Class Design,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Data Structures,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Data type,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Date Manipulation,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Encapsulation,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Function,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Function Type,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Functional Programming,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Future Management,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Generics,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Javascript,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Loops,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
Manage Scope,Core Programming & Computer Science,Software Developer and Prompt ,Software Engineering & Development,,,
