course_name,skill_name,job_classification,skill_class,revised_job_classification
[คูปอง] Conflict Killing & Building A Successful Team ด้วยการสื่อสารและการร่วมมือในที่ทำงานอย่างมีประสิทธิภาพ,Active Listening,Divisional transformation,"Communication, Negotiation & Stakeholder Management",Digital Transformation
[คูปอง] Conflict Killing & Building A Successful Team ด้วยการสื่อสารและการร่วมมือในที่ทำงานอย่างมีประสิทธิภาพ,Clear Communication,Divisional transformation,"Communication, Negotiation & Stakeholder Management",Digital Transformation
[คูปอง] Conflict Killing & Building A Successful Team ด้วยการสื่อสารและการร่วมมือในที่ทำงานอย่างมีประสิทธิภาพ,Conflict Management,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] Conflict Killing & Building A Successful Team ด้วยการสื่อสารและการร่วมมือในที่ทำงานอย่างมีประสิทธิภาพ,Effective Communication,Divisional transformation,Communication & Insights,Data Analyst
[คูปอง] Conflict Killing & Building A Successful Team ด้วยการสื่อสารและการร่วมมือในที่ทำงานอย่างมีประสิทธิภาพ,Empathize,Divisional transformation,Behavioral Science & User Experience,Business Analyst
[คูปอง] Conflict Killing & Building A Successful Team ด้วยการสื่อสารและการร่วมมือในที่ทำงานอย่างมีประสิทธิภาพ,Team Collaboration,Business Analyst,"Communication, Stakeholder Management & Soft Skills",Business Analyst
[คูปอง] Cybersecurity สำหรับแอปพลิเคชันและคลาวด์,Application Security,Cybersecurity Specialist,Application Security & DevSecOps,Cybersecurity Specialist
[คูปอง] Cybersecurity สำหรับแอปพลิเคชันและคลาวด์,Cloud Security,Cybersecurity Specialist,Cloud Security & Architecture,Cybersecurity Specialist
[คูปอง] Cybersecurity สำหรับแอปพลิเคชันและคลาวด์,Continuous Deployment,Cybersecurity Specialist,Application Security & DevSecOps,Cybersecurity Specialist
[คูปอง] Cybersecurity สำหรับแอปพลิเคชันและคลาวด์,Cyber Threats,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
[คูปอง] Cybersecurity สำหรับแอปพลิเคชันและคลาวด์,DevSecOps,Cybersecurity Specialist,Application Security & DevSecOps,Cybersecurity Specialist
[คูปอง] Cybersecurity สำหรับแอปพลิเคชันและคลาวด์,Vulnerability Assessment,Cybersecurity Specialist,Vulnerability Management & Offensive Security,Cybersecurity Specialist
[คูปอง] Getting Start With Cloud and AWS Cloud ก้าวแรกสู่การรู้จัก Cloud และ AWS Cloud,AWS S3,Data Engineer,Cloud Security & Architecture,Cybersecurity Specialist
[คูปอง] Getting Start With Cloud and AWS Cloud ก้าวแรกสู่การรู้จัก Cloud และ AWS Cloud,Cloud Computing,Software Developer and Prompt Engineer,Cloud Security & Architecture,Cybersecurity Specialist
[คูปอง] Getting Start With Cloud and AWS Cloud ก้าวแรกสู่การรู้จัก Cloud และ AWS Cloud,Cyber Threats,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
[คูปอง] Getting Start With Cloud and AWS Cloud ก้าวแรกสู่การรู้จัก Cloud และ AWS Cloud,Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] Getting Start With Cloud and AWS Cloud ก้าวแรกสู่การรู้จัก Cloud และ AWS Cloud,SQL,Database Administrator,Data Security & Privacy,Cybersecurity Specialist
[คูปอง] Getting Started with DevOps,CI/CD,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] Getting Started with DevOps,DevOps Culture,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] Getting Started with DevOps,DevOps Tools,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Getting Started with DevOps,Docker,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] Getting Started with DevOps,Git,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Getting Started with DevOps,Kubernetes,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Getting Started with DevOps,N-Tier Architecture,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] Hands-On DevOps,CI/CD Pipeline,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Hands-On DevOps,Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] Hands-On DevOps,DevOps Culture,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] Hands-On DevOps,DockerHub,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] Hands-On DevOps,Git Command,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] Hands-On DevOps,SQL,Software Developer and Prompt Engineer,Data Security & Privacy,Cybersecurity Specialist
[คูปอง] How To Become a Highly Productive People จัดระเบียบชีวิตการทำงานให้เหนื่อยน้อยลง,Conflict Resolution,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] How To Become a Highly Productive People จัดระเบียบชีวิตการทำงานให้เหนื่อยน้อยลง,Employee Engagement,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] How To Become a Highly Productive People จัดระเบียบชีวิตการทำงานให้เหนื่อยน้อยลง,Goal Setting,Divisional transformation,Project Management & Agile Operations,Digital Transformation
[คูปอง] How To Become a Highly Productive People จัดระเบียบชีวิตการทำงานให้เหนื่อยน้อยลง,Time Management,Divisional transformation,Project Management & Agile Operations,Digital Transformation
[คูปอง] How To Become a Highly Productive People จัดระเบียบชีวิตการทำงานให้เหนื่อยน้อยลง,Web Performance,Software Developer and Prompt Engineer),SEO & Web Optimization,Digital and performance marketer
[คูปอง] Introduction to AWS services เรียนรู้ Core Services บน AWS,AI Analytics,Data Scientist,Machine Learning & Modeling,Data Scientist
[คูปอง] Introduction to AWS services เรียนรู้ Core Services บน AWS,AWS S3,Data Engineer,Cloud Security & Architecture,Cybersecurity Specialist
[คูปอง] Introduction to AWS services เรียนรู้ Core Services บน AWS,Compute Services,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] Introduction to AWS services เรียนรู้ Core Services บน AWS,SQL,Database Administrator,Data Security & Privacy,Cybersecurity Specialist
[คูปอง] Introduction to AWS services เรียนรู้ Core Services บน AWS,Storage Services,Data Engineer,Data Architecture & Storage,Data Engineer
[คูปอง] Introduction to Product Management Foundation,Agile Method,Business Analyst,Project Management & Agile Methodologies,Business Analyst
[คูปอง] Introduction to Product Management Foundation,Market Research,Business Analyst,Product Management & Customer Insights,Business Analyst
[คูปอง] Introduction to Product Management Foundation,Product Management,Divisional transformation,Product Management & Customer Insights,Business Analyst
[คูปอง] Introduction to Product Management Foundation,Product Prioritization,Business Analyst,Product Management & Customer Insights,Business Analyst
[คูปอง] Introduction to Product Management Foundation,User Feedback,UXUI,Product Management & Customer Insights,Business Analyst
[คูปอง] Manual Testing และเครื่องมือต่างๆ ในการจัดการ Test,Bug Tracking,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Manual Testing และเครื่องมือต่างๆ ในการจัดการ Test,Manual Testing,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Manual Testing และเครื่องมือต่างๆ ในการจัดการ Test,Software Testing,Software Developer and Prompt Engineer,Testing & Quality Assurance,Software Developer and Prompt 
[คูปอง] Manual Testing และเครื่องมือต่างๆ ในการจัดการ Test,Test,Software Developer and Prompt Engineer),Data Analytics & Measurement,Digital and performance marketer
[คูปอง] Motivation Building and Influencing Performance เสริมสร้างแรงจูงใจ ปลุกไฟคนทำงาน,Communication Skills,Divisional transformation,"Communication, Stakeholder Management & Soft Skills",Business Analyst
[คูปอง] Motivation Building and Influencing Performance เสริมสร้างแรงจูงใจ ปลุกไฟคนทำงาน,Goal Setting,Divisional transformation,Project Management & Agile Operations,Digital Transformation
[คูปอง] Motivation Building and Influencing Performance เสริมสร้างแรงจูงใจ ปลุกไฟคนทำงาน,Leadership,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] Motivation Building and Influencing Performance เสริมสร้างแรงจูงใจ ปลุกไฟคนทำงาน,Motivation Techniques,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] Motivation Building and Influencing Performance เสริมสร้างแรงจูงใจ ปลุกไฟคนทำงาน,Trust Building,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] Motivation Building and Influencing Performance เสริมสร้างแรงจูงใจ ปลุกไฟคนทำงาน,Web Performance,Software Developer and Prompt Engineer,SEO & Web Optimization,Digital and performance marketer
[คูปอง] Network Security และการทดสอบประเมินช่องโหว่ในด้าน Cybersecurity,Cyber Threats,Cybersecurity Specialist,Threat Intelligence & Incident Response,Cybersecurity Specialist
[คูปอง] Network Security และการทดสอบประเมินช่องโหว่ในด้าน Cybersecurity,Data pipeline,Cybersecurity Specialist,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] Network Security และการทดสอบประเมินช่องโหว่ในด้าน Cybersecurity,Network Security,Cybersecurity Specialist,Network & Endpoint Security,Cybersecurity Specialist
[คูปอง] Network Security และการทดสอบประเมินช่องโหว่ในด้าน Cybersecurity,Penetration Testing,Cybersecurity Specialist,Vulnerability Management & Offensive Security,Cybersecurity Specialist
[คูปอง] Network Security และการทดสอบประเมินช่องโหว่ในด้าน Cybersecurity,Vulnerability Assessment,Cybersecurity Specialist,Vulnerability Management & Offensive Security,Cybersecurity Specialist
"[คูปอง] Python, Pandas และ PySpark สำหรับงาน Data Engineer",Data Analysis,Data Engineer,Data Analysis & Statistics,Data Analyst
"[คูปอง] Python, Pandas และ PySpark สำหรับงาน Data Engineer",Data Processing,Data Engineer,"Data Manipulation, Transformation & Modeling",Data Analyst
"[คูปอง] Python, Pandas และ PySpark สำหรับงาน Data Engineer",Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
"[คูปอง] Python, Pandas และ PySpark สำหรับงาน Data Engineer",Pandas,Data Engineer,Programming & Tools,Data Engineer
"[คูปอง] Python, Pandas และ PySpark สำหรับงาน Data Engineer",PySpark,Data Engineer,Programming & Tools,Data Engineer
"[คูปอง] Python, Pandas และ PySpark สำหรับงาน Data Engineer",Python,Data Engineer,Programming & Tools,Data Engineer
[คูปอง] The Power of Storytelling for Leaders เล่าเรื่องธุรกิจอย่างไร ให้เข้าไปอยู่ในใจผู้ฟัง,Audience Analysis,Business Analyst,"Communication, Stakeholder Management & Soft Skills",Business Analyst
[คูปอง] The Power of Storytelling for Leaders เล่าเรื่องธุรกิจอย่างไร ให้เข้าไปอยู่ในใจผู้ฟัง,Communication Skills,Divisional transformation,"Communication, Stakeholder Management & Soft Skills",Business Analyst
[คูปอง] The Power of Storytelling for Leaders เล่าเรื่องธุรกิจอย่างไร ให้เข้าไปอยู่ในใจผู้ฟัง,Persuasive Speaking,Divisional transformation,"Communication, Negotiation & Stakeholder Management",Digital Transformation
[คูปอง] The Power of Storytelling for Leaders เล่าเรื่องธุรกิจอย่างไร ให้เข้าไปอยู่ในใจผู้ฟัง,Storytelling Techniques,Divisional transformation,"Communication, Negotiation & Stakeholder Management",Digital Transformation
[คูปอง] The Power of Storytelling for Leaders เล่าเรื่องธุรกิจอย่างไร ให้เข้าไปอยู่ในใจผู้ฟัง,Visual Formatting,Business Analyst,"Technical Skills, Tools & Automation",Business Analyst
[คูปอง] Visualize ข้อมูล และเชื่อมต่อ Airtable กับเครื่องมืออื่น ๆ ด้วย Extension,Airtable Extensions,Data Analyst,"Tools, Technologies & Programming",Data Analyst
[คูปอง] Visualize ข้อมูล และเชื่อมต่อ Airtable กับเครื่องมืออื่น ๆ ด้วย Extension,Data Import,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] Visualize ข้อมูล และเชื่อมต่อ Airtable กับเครื่องมืออื่น ๆ ด้วย Extension,Data Visualization,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] Visualize ข้อมูล และเชื่อมต่อ Airtable กับเครื่องมืออื่น ๆ ด้วย Extension,Insight Formation,Data Analyst,Communication & Insights,Data Analyst
[คูปอง] Visualize ข้อมูล และเชื่อมต่อ Airtable กับเครื่องมืออื่น ๆ ด้วย Extension,Network Security,Cybersecurity Specialist,Network & Endpoint Security,Cybersecurity Specialist
[คูปอง] Visualize ข้อมูล และเชื่อมต่อ Airtable กับเครื่องมืออื่น ๆ ด้วย Extension,Permission Management,Data Analyst,Data Management & Governance,Data Analyst
[คูปอง] Visualize ข้อมูล และเชื่อมต่อ Airtable กับเครื่องมืออื่น ๆ ด้วย Extension,Script Extension,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Workshop การทำ API และ Functional Manual Test,API,Software Developer and Prompt Engineer,"Backend, APIs & Database",Software Developer and Prompt 
[คูปอง] Workshop การทำ API และ Functional Manual Test,API Testing,Software Developer and Prompt Engineer),Testing & Quality Assurance,Software Developer and Prompt 
[คูปอง] Workshop การทำ API และ Functional Manual Test,Functional Testing,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Workshop การทำ API และ Functional Manual Test,Manual Testing,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Workshop การทำ API และ Functional Manual Test,Project Management Skills,Software Developer and Prompt Engineer,Project Management & Agile Methodologies,Business Analyst
[คูปอง] Workshop การทำ API และ Functional Manual Test,Test,Software Developer and Prompt Engineer,Data Analytics & Measurement,Digital and performance marketer
[คูปอง] Workshop การทำ API และ Functional Manual Test,Test Case Design,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Workshop การทำ API และ Functional Manual Test,User Feedback,Software Developer and Prompt Engineer,Product Management & Customer Insights,Business Analyst
[คูปอง] Workshop: การเริ่มต้น Deploy Web Application on EC2 (AWS),AWS S3,Software Developer and Prompt Engineer,Cloud Security & Architecture,Cybersecurity Specialist
[คูปอง] Workshop: การเริ่มต้น Deploy Web Application on EC2 (AWS),Auto Scaling,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] Workshop: การเริ่มต้น Deploy Web Application on EC2 (AWS),Load Balancing,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] Workshop: การเริ่มต้น Deploy Web Application on EC2 (AWS),Web Deployment,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] การจัดการ Monitoring และ Logging สำหรับ DevOps,Alerting System,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] การจัดการ Monitoring และ Logging สำหรับ DevOps,Data Tools,Software Developer and Prompt Engineer,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] การจัดการ Monitoring และ Logging สำหรับ DevOps,DevOps Culture,Software Developer and Prompt Engineer),"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] การจัดการ Monitoring และ Logging สำหรับ DevOps,Logging Management,Software Developer and Prompt Engineer,"Backend, APIs & Database",Software Developer and Prompt 
[คูปอง] การบริหารตนเองเพื่อสร้างผลลัพธ์แบบหัวหน้างาน,Effective Communication,Divisional transformation,Communication & Insights,Data Analyst
[คูปอง] การบริหารตนเองเพื่อสร้างผลลัพธ์แบบหัวหน้างาน,Empathize,Divisional transformation,Behavioral Science & User Experience,Business Analyst
[คูปอง] การบริหารตนเองเพื่อสร้างผลลัพธ์แบบหัวหน้างาน,Influence Techniques,Divisional transformation,"Communication, Negotiation & Stakeholder Management",Digital Transformation
[คูปอง] การบริหารตนเองเพื่อสร้างผลลัพธ์แบบหัวหน้างาน,Leadership,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] การบริหารตนเองเพื่อสร้างผลลัพธ์แบบหัวหน้างาน,Time Management,Divisional transformation,Project Management & Agile Operations,Digital Transformation
[คูปอง] การบริหารทีมเพื่อสร้างผลลัพธ์,Leadership,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] การบริหารทีมเพื่อสร้างผลลัพธ์,Psychological Safety,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] การบริหารทีมเพื่อสร้างผลลัพธ์,Task Delegation,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] การบริหารทีมเพื่อสร้างผลลัพธ์,Team Motivation,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] การประยุกต์ใช้ Power Automate เพื่อลดงานซ้ำซ้อนในออฟฟิศ,API Service,Business Analyst,"Technical Skills, Tools & Automation",Business Analyst
[คูปอง] การประยุกต์ใช้ Power Automate เพื่อลดงานซ้ำซ้อนในออฟฟิศ,Cloud Flow,Business Analyst,"Technical Skills, Tools & Automation",Business Analyst
[คูปอง] การประยุกต์ใช้ Power Automate เพื่อลดงานซ้ำซ้อนในออฟฟิศ,Data Connection,Business Analyst,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] การประยุกต์ใช้ Power Automate เพื่อลดงานซ้ำซ้อนในออฟฟิศ,HR Automation,Business Analyst,"Technical Skills, Tools & Automation",Business Analyst
[คูปอง] การประยุกต์ใช้ Power Automate เพื่อลดงานซ้ำซ้อนในออฟฟิศ,VBA Scripting,Software Developer and Prompt Engineer,"Technical Skills, Tools & Automation",Business Analyst
[คูปอง] การพัฒนาผลการปฏิบัติงานลูกทีม,Coaching Methods,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] การพัฒนาผลการปฏิบัติงานลูกทีม,Leadership,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] การพัฒนาผลการปฏิบัติงานลูกทีม,Team Motivation,Divisional transformation,Leadership & Team Development,Digital Transformation
[คูปอง] การพัฒนาผลการปฏิบัติงานลูกทีม,User Feedback,UXUI,Product Management & Customer Insights,Business Analyst
[คูปอง] การพัฒนาผลการปฏิบัติงานลูกทีม,Web Performance,Software Developer and Prompt Engineer),SEO & Web Optimization,Digital and performance marketer
[คูปอง] การรวบรวม Requirements ของนักวิเคราะห์ระบบ,Change Management,Business Analyst,Project Management & Agile Methodologies,Business Analyst
[คูปอง] การรวบรวม Requirements ของนักวิเคราะห์ระบบ,Legal Compliance,Business Analyst,Business Strategy & Domain Knowledge,Business Analyst
[คูปอง] การรวบรวม Requirements ของนักวิเคราะห์ระบบ,Requirement Elicitation,Business Analyst,Requirements Engineering & System Analysis,Business Analyst
[คูปอง] การรวบรวม Requirements ของนักวิเคราะห์ระบบ,Requirement Gathering,Business Analyst,Requirements Engineering & System Analysis,Business Analyst
[คูปอง] การรวบรวม Requirements ของนักวิเคราะห์ระบบ,Traceability,Business Analyst,Requirements Engineering & System Analysis,Business Analyst
[คูปอง] การรวบรวม Requirements ของนักวิเคราะห์ระบบ,Use Case,Business Analyst,Requirements Engineering & System Analysis,Business Analyst
[คูปอง] การวิเคราะห์ ทำความเข้าใจ และหา Insights จากข้อมูล (EDA) โดยใช้ Excel,Add Operation,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] การวิเคราะห์ ทำความเข้าใจ และหา Insights จากข้อมูล (EDA) โดยใช้ Excel,Data Cleaning,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] การวิเคราะห์ ทำความเข้าใจ และหา Insights จากข้อมูล (EDA) โดยใช้ Excel,Data Visualization,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] การวิเคราะห์ ทำความเข้าใจ และหา Insights จากข้อมูล (EDA) โดยใช้ Excel,Exploratory Data Analysis,Data Analyst,Data Analysis & Statistics,Data Analyst
[คูปอง] การวิเคราะห์ ทำความเข้าใจ และหา Insights จากข้อมูล (EDA) โดยใช้ Excel,Function,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] การวิเคราะห์ ทำความเข้าใจ และหา Insights จากข้อมูล (EDA) โดยใช้ Excel,statistical Analysis,Data Analyst,Data Analysis & Statistics,Data Analyst
[คูปอง] การวิเคราะห์ข้อมูลเบื้องต้น โดยใช้ Excel,Data Analysis,Data Analyst,Data Analysis & Statistics,Data Analyst
[คูปอง] การวิเคราะห์ข้อมูลเบื้องต้น โดยใช้ Excel,Data Cleaning,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] การวิเคราะห์ข้อมูลเบื้องต้น โดยใช้ Excel,Data Import,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] การวิเคราะห์ข้อมูลเบื้องต้น โดยใช้ Excel,Data Visualization,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] การวิเคราะห์ข้อมูลเบื้องต้น โดยใช้ Excel,Pivot Table,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] การวิเคราะห์ข้อมูลเบื้องต้น โดยใช้ Excel,VBA Scripting,Data Analyst,"Technical Skills, Tools & Automation",Business Analyst
[คูปอง] การสร้างรายงานบน Excel โดยใช้ Pivot Table และ Pivot Chart,Data Analysis,Data Analyst,Data Analysis & Statistics,Data Analyst
[คูปอง] การสร้างรายงานบน Excel โดยใช้ Pivot Table และ Pivot Chart,Data Filters,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] การสร้างรายงานบน Excel โดยใช้ Pivot Table และ Pivot Chart,Data Sorting,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] การสร้างรายงานบน Excel โดยใช้ Pivot Table และ Pivot Chart,Data Visualization,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] การสร้างรายงานบน Excel โดยใช้ Pivot Table และ Pivot Chart,Pivot Table Creation,Data Analyst,"Data Manipulation, Transformation & Modeling",Data Analyst
[คูปอง] การสร้างรายงานบน Excel โดยใช้ Pivot Table และ Pivot Chart,User Feedback,Business Analyst,Product Management & Customer Insights,Business Analyst
[คูปอง] การเล่าเรื่องข้อมูลด้วยเทคนิค Data Visualization,Business Insights,Data Analyst,Business Intelligence & Domain Applications,Data Analyst
[คูปอง] การเล่าเรื่องข้อมูลด้วยเทคนิค Data Visualization,Chart Types,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] การเล่าเรื่องข้อมูลด้วยเทคนิค Data Visualization,Data Analysis,Data Analyst,Data Analysis & Statistics,Data Analyst
[คูปอง] การเล่าเรื่องข้อมูลด้วยเทคนิค Data Visualization,Data Visualization,Data Analyst,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] การเล่าเรื่องข้อมูลด้วยเทคนิค Data Visualization,Tableau Public,Data Analyst,"Tools, Technologies & Programming",Data Analyst
[คูปอง] การเล่าเรื่องข้อมูลด้วยเทคนิค Data Visualization,User Story Creation,Business Analyst,Requirements Engineering & System Analysis,Business Analyst
[คูปอง] กำกับดูแล บริหารความเสี่ยง และปฏิบัติตามกฎต่างๆ ด้าน Cybersecurity,Compliance Monitoring,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist
[คูปอง] กำกับดูแล บริหารความเสี่ยง และปฏิบัติตามกฎต่างๆ ด้าน Cybersecurity,Data pipeline,Cybersecurity Specialist,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] กำกับดูแล บริหารความเสี่ยง และปฏิบัติตามกฎต่างๆ ด้าน Cybersecurity,Information Security,Cybersecurity Specialist,Data Security & Privacy,Cybersecurity Specialist
[คูปอง] กำกับดูแล บริหารความเสี่ยง และปฏิบัติตามกฎต่างๆ ด้าน Cybersecurity,Policy Framework,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist
[คูปอง] กำกับดูแล บริหารความเสี่ยง และปฏิบัติตามกฎต่างๆ ด้าน Cybersecurity,Privacy Management,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist
[คูปอง] กำกับดูแล บริหารความเสี่ยง และปฏิบัติตามกฎต่างๆ ด้าน Cybersecurity,Risk management,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist
[คูปอง] กำกับดูแล บริหารความเสี่ยง และปฏิบัติตามกฎต่างๆ ด้าน Cybersecurity,Security Governance,Cybersecurity Specialist,"Governance, Risk & Compliance (GRC)",Cybersecurity Specialist
[คูปอง] ก้าวสู่โลกของเทคโนโลยีด้วยการเป็น QA,Data pipeline,Data Engineer,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] ก้าวสู่โลกของเทคโนโลยีด้วยการเป็น QA,DevOps Culture,Software Developer and Prompt Engineer,"Cloud, DevOps & Architecture",Software Developer and Prompt 
[คูปอง] ก้าวสู่โลกของเทคโนโลยีด้วยการเป็น QA,Quality Assurance,Software Developer and Prompt Engineer,Testing & Quality Assurance,Software Developer and Prompt 
[คูปอง] ก้าวสู่โลกของเทคโนโลยีด้วยการเป็น QA,SQL,Software Developer and Prompt Engineer),Data Security & Privacy,Cybersecurity Specialist
[คูปอง] ก้าวสู่โลกของเทคโนโลยีด้วยการเป็น QA,Software Testing,Software Developer and Prompt Engineer),Testing & Quality Assurance,Software Developer and Prompt 
[คูปอง] ก้าวสู่โลกของเทคโนโลยีด้วยการเป็น QA,Test,Software Developer and Prompt Engineer,Data Analytics & Measurement,Digital and performance marketer
[คูปอง] ความรู้พื้นฐานสำหรับ QA และ Tester,Agile Method,Software Developer and Prompt Engineer),Project Management & Agile Methodologies,Business Analyst
[คูปอง] ความรู้พื้นฐานสำหรับ QA และ Tester,Bug Definition,Software Developer and Prompt Engineer),#N/A,#N/A
[คูปอง] ความรู้พื้นฐานสำหรับ QA และ Tester,Quality Assurance,Software Developer and Prompt Engineer,Testing & Quality Assurance,Software Developer and Prompt 
[คูปอง] ความรู้พื้นฐานสำหรับ QA และ Tester,SDLC Process,Software Developer and Prompt Engineer),Project Management & Agile Methodologies,Business Analyst
[คูปอง] ความรู้พื้นฐานสำหรับ QA และ Tester,Software Testing,Software Developer and Prompt Engineer),Testing & Quality Assurance,Software Developer and Prompt 
[คูปอง] ความรู้พื้นฐานสำหรับ QA และ Tester,Test Levels,Software Developer and Prompt Engineer,Testing & Quality Assurance,Software Developer and Prompt 
[คูปอง] จัดการต้นทุนและกำกับดูแล Azure,Azure Policy,Cybersecurity Specialist,Cloud Security & Architecture,Cybersecurity Specialist
[คูปอง] จัดการต้นทุนและกำกับดูแล Azure,Azure Tools,Cybersecurity Specialist,Cloud Security & Architecture,Cybersecurity Specialist
[คูปอง] จัดการต้นทุนและกำกับดูแล Azure,Cloud Monitoring,Data Engineer,Cloud Security & Architecture,Cybersecurity Specialist
[คูปอง] จัดการต้นทุนและกำกับดูแล Azure,Cost Analysis,Business Analyst,Financial Analysis & Accounting,Business Analyst
[คูปอง] จัดการต้นทุนและกำกับดูแล Azure,Resource Management,Database Administrator,Cloud & Infrastructure,Data Engineer
[คูปอง] จัดการปัญหาที่ท้าทายให้ง่ายในพริบตาด้วย Analysis Thinking และ Critical Thinking,Creative Writing,Business Analyst,"Communication, Stakeholder Management & Soft Skills",Business Analyst
[คูปอง] จัดการปัญหาที่ท้าทายให้ง่ายในพริบตาด้วย Analysis Thinking และ Critical Thinking,Critical Thinking,Business Analyst,"Communication, Stakeholder Management & Soft Skills",Business Analyst
[คูปอง] จัดการปัญหาที่ท้าทายให้ง่ายในพริบตาด้วย Analysis Thinking และ Critical Thinking,Decision Making,Divisional transformation,"Communication, Stakeholder Management & Soft Skills",Business Analyst
[คูปอง] จัดการปัญหาที่ท้าทายให้ง่ายในพริบตาด้วย Analysis Thinking และ Critical Thinking,Insights,Business Analyst,Data Analytics & Business Intelligence,Business Analyst
[คูปอง] จัดการปัญหาที่ท้าทายให้ง่ายในพริบตาด้วย Analysis Thinking และ Critical Thinking,Problem Solving,Divisional transformation,"Strategy, Change & Decision Making",Digital Transformation
